dopant,dose(cm^-2),energy(KeV),wavelength(um),repetition rate (KHz),power (W),temperature( C ),measurement1,measurement2,measurement3,measurement4,measurement5,measurement6,measurement7,measurement8,measurement9,average value,simulation value
1,5000000000000000.0,10,355,100,0.499,300,36000000.0,35500000.0,35700000.0,36000000.0,35400000.0,35700000.0,36700000.0,35800000.0,36200000.0,35880000.0,269.3
1,5000000000000000.0,55,355,100,0.496,300,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,118.6
2,5000000000000000.0,10,532,50,1.498,25,2490000.0,2470000.0,2480000.0,2490000.0,2470000.0,2480000.0,2480000.0,2470000.0,2480000.0,2476333.333,3637.0
1,800000000000000.0,25,532,50,6.003,300,288.0,288.0,288.0,288.0,288.0,288.0,287.0,287.0,287.0,287.5666667,135.9
2,5000000000000000.0,10,355,100,0.497,25,272000000.0,264000000.0,268000000.0,267000000.0,260000000.0,264000000.0,280000000.0,262000000.0,271000000.0,267566666.7,10730.0
2,2000000000000000.0,55,355,50,2.327,300,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,175.7333333,129.0
2,5000000000000000.0,25,532,50,1.497,300,323.0,323.0,323.0,323.0,323.0,323.0,322.0,322.0,322.0,322.6666667,306.6
2,500000000000000.0,10,532,50,2.997,25,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2796.666667,1338.0
1,5000000000000000.0,40,532,100,2.995,25,414.0,414.0,414.0,424.0,423.0,423.0,416.0,416.0,416.0,417.87,170.1
1,2000000000000000.0,10,355,50,2.326,25,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0666667,288.4
2,2000000000000000.0,40,532,50,6.003,300,111.0,110.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,110.6333333,65.87
1,5000000000000000.0,40,355,100,1.497,298,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,89.63
2,500000000000000.0,25,355,50,1.659,25,4060.0,4070.0,4070.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4054.0,1315.0
1,800000000000000.0,25,355,50,0.998,300,5400.0,5410.0,5400.0,5390.0,5400.0,5400.0,5390.0,5390.0,5390.0,5397.666667,221.0
1,500000000000000.0,25,355,50,1.659,25,11100.0,11200.0,11200.0,11100.0,11100.0,11100.0,11100.0,11200.0,11200.0,11140.0,375.6
1,800000000000000.0,55,532,50,2.994,300,1040.0,1040.0,1040.0,1030.0,1030.0,1030.0,1040.0,1040.0,1040.0,1033.666667,167.6
1,500000000000000.0,25,532,100,1.497,300,4290000000.0,972000000.0,2630000000.0,4450000000.0,958000000.0,2700000000.0,4470000000.0,947000000.0,2710000000.0,2680666667.0,293.2
1,800000000000000.0,10,532,50,6.003,300,301.0,301.0,301.0,301.0,300.0,301.0,301.0,301.0,301.0,300.6,135.8
2,5000000000000000.0,10,532,50,2.997,25,141.0,141.0,142.0,142.0,142.0,142.0,140.0,140.0,140.0,141.4,980.1
2,5000000000000000.0,25,355,50,2.326,25,93.0,93.0,92.6,92.6,92.6,92.6,92.7,92.7,92.7,92.64333333,497.3
2,2000000000000000.0,55,532,100,5.998,25,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,276.7666667,204.3
1,500000000000000.0,55,532,50,1.497,25,8130000.0,9480000.0,8810000.0,9450000.0,9380000.0,9420000.0,9350000.0,9470000.0,9410000.0,9211000.0,389.2
2,5000000000000000.0,10,355,50,2.997,298,68.9,68.9,68.9,68.3,68.2,68.2,68.1,68.1,68.1,68.41,95.46
1,2000000000000000.0,55,355,50,1.658,300,525.0,527.0,526.0,527.0,527.0,527.0,528.0,528.0,528.0,526.9333333,106.7
2,800000000000000.0,55,355,100,1.502,25,3650000.0,3650000.0,3650000.0,3650000.0,3650000.0,3650000.0,3650000.0,3650000.0,3650000.0,3650333.333,1525.0
2,5000000000000000.0,40,532,100,4.5,299,121.0,122.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.15,105.7
1,800000000000000.0,10,355,50,2.326,25,945.0,946.0,945.0,947.0,947.0,947.0,946.0,944.0,945.0,945.5333333,367.4
2,5000000000000000.0,10,532,100,5.999,300,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,78.99666667,60.31
1,800000000000000.0,40,355,100,1.998,300,24300.0,24300.0,24300.0,24300.0,24300.0,24300.0,24300.0,24300.0,24300.0,24286.66667,177.3
1,500000000000000.0,10,532,100,4.498,300,2930.0,2930.0,2930.0,2920.0,2920.0,2920.0,2930.0,2930.0,2930.0,2927.333333,277.9
2,500000000000000.0,40,355,100,1.998,300,18700.0,18700.0,18700.0,18700.0,18700.0,18700.0,18700.0,18700.0,18700.0,18716.66667,376.2
1,500000000000000.0,10,355,100,0.499,300,2740000000.0,1020000000.0,1880000000.0,2760000000.0,969000000.0,1860000000.0,2850000000.0,1070000000.0,1960000000.0,1900333333.0,459.0
2,5000000000000000.0,40,355,50,1.659,25,190.0,191.0,191.0,190.0,190.0,190.0,190.0,190.0,190.0,190.18,756.9
2,2000000000000000.0,10,355,50,1.002,25,3590000.0,3550000.0,3570000.0,3590000.0,3560000.0,3570000.0,3590000.0,3560000.0,3580000.0,3573333.333,4342.0
1,500000000000000.0,55,532,100,4.502,25,55100.0,55200.0,55200.0,55200.0,55300.0,55200.0,55100.0,55200.0,55200.0,55186.66667,274.9
2,5000000000000000.0,10,532,50,5.999,25,61.7,61.7,61.7,61.9,61.9,61.9,62.0,62.0,62.0,61.87666667,69.65
2,500000000000000.0,25,355,50,1.658,300,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1559.333333,411.2
2,2000000000000000.0,40,0,0,0.0,25,140000000.0,125000000.0,133000000.0,130000000.0,128000000.0,129000000.0,139000000.0,1.24E+08,132000000.0,131100000.0,7673.0
2,800000000000000.0,10,355,100,0.496,300,3030000000.0,675000000.0,1850000000.0,2970000000.0,812000000.0,1890000000.0,2890000000.0,7.35E+08,1810000000.0,1851666667.0,1246.0
1,500000000000000.0,55,532,50,4.501,25,1740.0,1740.0,1740.0,1750.0,1750.0,1750.0,1740.0,1.74E+03,1740.0,1743.666667,242.3
2,5000000000000000.0,25,532,50,1.497,25,534.0,535.0,534.0,536.0,535.0,535.0,537.0,5.37E+02,537.0,535.4666667,2034.0
2,800000000000000.0,10,355,50,1.659,25,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1.35E+03,1350.0,1347.666667,2099.0
2,2000000000000000.0,55,532,50,1.497,25,2070.0,2070.0,2070.0,2070.0,2070.0,2070.0,2070.0,2.07E+03,2070.0,2070.666667,1404.0
2,2000000000000000.0,10,355,50,0.998,300,1120.0,1130.0,1130.0,1120.0,1120.0,1120.0,1120.0,1.12E+03,1120.0,1121.333333,646.0
2,500000000000000.0,55,532,50,4.503,300,419.0,419.0,419.0,418.0,419.0,419.0,418.0,4.19E+02,418.0,418.6,203.1
2,2000000000000000.0,10,532,100,3.002,25,2810.0,2810.0,2810.0,2840.0,2840.0,2840.0,2820.0,2.83E+03,2830.0,2825.666667,2169.0
2,5000000000000000.0,25,532,100,3.002,25,451.0,451.0,451.0,450.0,450.0,450.0,451.0,4.51E+02,451.0,450.8666667,1144.0
2,5000000000000000.0,40,532,100,5.996,299,77.7,77.7,77.7,78.6,78.6,78.6,78.6,7.86E+01,78.6,78.31,52.04
1,2000000000000000.0,10,532,50,1.497,25,12500.0,12600.0,12500.0,12600.0,12600.0,12600.0,12500.0,1.25E+04,12500.0,12540.0,608.8
2,2000000000000000.0,55,532,100,1.504,25,28500000.0,28900000.0,28900000.0,28800000.0,28900000.0,29200000.0,28100000.0,28.076e,28600000.0,28913333.33,2200.0
2,2000000000000000.0,10,532,100,5.998,25,273.0,273.0,273.0,272.0,272.0,272.0,273.0,2.73E+02,273.0,272.4666667,482.8
2,5000000000000000.0,10,532,50,6.001,300,58.4,58.4,58.4,58.4,58.4,58.4,58.4,5.84E+01,58.4,58.41,36.01
2,500000000000000.0,40,532,100,2.996,25,24100.0,24100.0,24100.0,24100.0,24200.0,24200.0,24100.0,2.41E+04,24100.0,24136.66667,1118.0
2,800000000000000.0,55,532,100,2.995,300,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2010.0,2.01E+03,2010.0,2004.0,252.9
2,5000000000000000.0,25,355,50,1.002,25,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2010.0,2.01E+03,2010.0,2004.666667,2298.0
2,500000000000000.0,25,0,0,0.0,25,186000000.0,170000000.0,178000000.0,189000000.0,177000000.0,193000000.0,190000000.0,1.76E+08,183000000.0,184566666.7,10410.0
2,5000000000000000.0,10,355,50,2.328,25,106.0,106.0,106.0,106.0,106.0,106.0,107.0,1.06E+02,107.0,106.3666667,850.8
1,500000000000000.0,55,532,50,6.001,25,1340.0,1340.0,1340.0,1340.0,1340.0,1340.0,1340.0,1.34E+03,1340.0,1343.666667,218.2
1,800000000000000.0,10,532,100,2.995,300,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1.40E+03,1400.0,1402.0,268.7
1,2000000000000000.0,10,532,100,6.003,300,138.0,139.0,138.0,138.0,138.0,138.0,138.0,1.38E+02,138.0,137.9,77.06
2,800000000000000.0,25,532,100,4.502,25,977.0,976.0,976.0,977.0,976.0,976.0,976.0,9.76E+02,976.0,976.2666667,668.8
2,5000000000000000.0,10,532,50,4.498,25,64.0,64.0,64.0,64.0,64.0,64.0,64.2,6.41E+01,64.1,64.04,356.6
2,2000000000000000.0,25,355,50,1.658,300,292.0,292.0,292.0,292.0,292.0,292.0,292.0,2.92E+02,292.0,291.8666667,259.0
2,2000000000000000.0,40,355,50,1.002,25,7440.0,7440.0,7440.0,7400.0,7400.0,7400.0,7350.0,7.35E+03,7350.0,7396.666667,1811.0
1,800000000000000.0,55,532,100,3.002,25,94800.0,95000.0,94900.0,94900.0,94800.0,94800.0,94900.0,9.50E+04,94900.0,94880.0,271.2
2,2000000000000000.0,40,532,100,4.493,300,255.0,254.0,254.0,255.0,255.0,255.0,255.0,2.55E+02,255.0,254.8666667,141.1
1,5000000000000000.0,25,532,50,4.501,25,48.6,48.6,48.6,48.6,48.6,48.6,48.6,4.86E+01,48.6,48.60666667,91.59
2,5000000000000000.0,40,532,50,2.996,302,87.9,87.9,87.9,86.7,86.7,86.7,86.8,8.68E+01,86.8,87.14,116.6
1,500000000000000.0,40,355,50,1.659,25,41600.0,41700.0,41700.0,32000.0,32000.0,32000.0,32000.0,3.20E+04,32000.0,35216.66667,313.9
1,5000000000000000.0,40,355,50,0.998,299,348.0,348.0,348.0,348.0,348.0,348.0,349.0,3.49E+02,349.0,348.23,91.41
1,5000000000000000.0,55,355,50,1.002,25,1.54,1540.0,1540.0,1540.0,1540.0,1540.0,1540.0,1.54E+03,1540.0,1539.333333,249.8
2,500000000000000.0,40,355,100,1.496,25,14100000.0,14200000.0,14200000.0,14100000.0,14100000.0,14100000.0,13900000.0,1.41E+07,14000000.0,14080000.0,1880.0
1,2000000000000000.0,10,355,100,0.496,300,4750000.0,4770000.0,4760000.0,4740000.0,4740000.0,4740000.0,4740000.0,4.75E+06,4750000.0,4750000.0,310.6
1,800000000000000.0,55,532,50,3.003,25,3920.0,3920.0,3920.0,3920.0,3920.0,3920.0,3930.0,3.93E+03,3930.0,3924.333333,220.8
2,5000000000000000.0,55,532,50,2.994,300,77.3,77.4,77.4,77.3,77.3,77.3,77.5,7.74E+01,77.5,77.38333333,99.55
1,2000000000000000.0,25,355,50,0.998,300,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1310.0,1.31E+03,1310.0,1310.0,150.8
1,500000000000000.0,55,355,100,0.999,300,2350000000.0,1270000000.0,1810000000.0,2340000000.0,1260000000.0,1760000000.0,2340000000.0,1.26E+09,1800000000.0,1789666667.0,266.9
2,5000000000000000.0,10,355,50,1.658,300,164.0,164.0,164.0,164.0,164.0,164.0,163.0,1.63E+02,163.0,163.5333333,350.0
2,5000000000000000.0,25,532,50,4.503,300,55.3,55.3,55.3,55.3,55.3,55.3,55.2,5.52E+01,55.2,55.27,50.93
1,2000000000000000.0,10,355,50,2.997,25,186.0,186.0,186.0,186.0,186.0,186.0,185.0,1.85E+02,185.0,185.6,210.5
2,2000000000000000.0,10,355,100,0.496,300,3440000000.0,954000000.0,2200000000.0,3450000000.0,928000000.0,2190000000.0,3420000000.0,9.07E+08,2160000000.0,2183666667.0,1096.0
2,2000000000000000.0,25,355,100,0.999,300,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,1.00E+11,100000000000.0,100000000000.0,486.1
1,5000000000000000.0,10,355,50,2.328,25,89.8,89.8,89.8,89.4,89.4,89.4,90.1,9.00E+01,90.0,89.73,247.9
2,5000000000000000.0,40,532,100,2.995,25,497.0,499.0,498.0,500.0,499.0,500.0,502.0,5.02E+02,502.0,499.85,862.6
1,500000000000000.0,40,355,100,1.001,25,22300000.0,22100000.0,22200000.0,21600000.0,21600000.0,21600000.0,22400000.0,2.16E+07,22000000.0,21933333.33,464.5
2,2000000000000000.0,25,0,0,0.0,25,231000000.0,225000000.0,228000000.0,238000000.0,218000000.0,228000000.0,238000000.0,2.24E+08,231000000.0,228900000.0,10260.0
2,800000000000000.0,40,532,50,6.003,300,272.0,272.0,272.0,272.0,272.0,272.0,271.0,2.71E+02,271.0,271.5666667,133.3
2,800000000000000.0,25,532,100,2.995,300,1240.0,1240.0,1240.0,1220.0,1220.0,1.22E+03,1220.0,1220.0,1220.0,1223.666667,354.6
1,2000000000000000.0,40,532,50,6.003,300,98.7,98.7,98.7,98.6,98.5,9.86E+01,98.5,98.5,98.5,98.56333333,68.8
1,500000000000000.0,55,355,100,0.498,25,59400000.0,46800000.0,53100000.0,54000000.0,57100000.0,5.55E+07,68100000.0,47800000.0,57900000.0,55506666.67,574.8
1,2000000000000000.0,25,355,100,1.996,25,11200.0,11200.0,11200.0,11200.0,11200.0,1.12E+04,11200.0,11200.0,11200.0,11180.0,280.6
1,5000000000000000.0,25,532,50,1.497,300,225.0,225.0,225.0,225.0,225.0,2.25E+02,225.0,225.0,225.0,225.0666667,111.4
1,5000000000000000.0,40,355,100,0.498,25,157000000.0,156000000.0,157000000.0,173000000.0,148000000.0,1.61E+08,161000000.0,154000000.0,157000000.0,158080000.0,440.5
1,2000000000000000.0,25,532,100,2.995,300,419.0,419.0,419.0,419.0,419.0,4.19E+02,419.0,419.0,419.0,418.6666667,127.5
1,5000000000000000.0,40,532,100,1.498,300,356000000.0,345000000.0,350000000.0,343000000.0,349000000.0,3.46E+08,354000000.0,345000000.0,349000000.0,348530000.0,98.59
2,800000000000000.0,55,532,50,1.497,300,2920.0,2920.0,2920.0,2900.0,2900.0,2.90E+03,2900.0,2900.0,2900.0,2908.0,310.3
1,500000000000000.0,40,355,50,1.658,300,8070.0,8080.0,8070.0,8060.0,8060.0,8.06E+03,8110.0,8130.0,8120.0,8083.666667,230.5
1,5000000000000000.0,55,532,100,1.497,300,2490000000.0,996000000.0,1740000000.0,2880000000.0,777000000.0,1.83E+09,2990000000.0,805000000.0,1900000000.0,1823000000.0,98.69
1,5000000000000000.0,40,532,100,1.496,25,59400000.0,47800000.0,53600000.0,58800000.0,50500000.0,5.47E+07,63300000.0,49800000.0,56600000.0,54940000.0,301.3
2,2000000000000000.0,10,532,100,1.497,300,2490000000.0,847000000.0,1670000000.0,2470000000.0,873000000.0,1.67E+09,2530000000.0,833000000.0,1680000000.0,1674333333.0,757.8
1,800000000000000.0,25,355,50,2.326,25,1040.0,1040.0,1040.0,1040.0,1040.0,1.04E+03,1040.0,1040.0,1040.0,1041.666667,248.1
2,5000000000000000.0,40,532,50,4.499,305,56.0,55.9,55.9,56.1,56.1,5.61E+01,55.9,56.0,56.0,55.98666667,47.78
1,500000000000000.0,40,355,100,0.997,300,1120000000.0,684000000.0,900000000.0,1260000000.0,845000000.0,1.05E+09,1300000000.0,994000000.0,1150000000.0,1031866667.0,258.5
2,5000000000000000.0,25,355,100,0.498,25,212000000.0,205000000.0,209000000.0,218000000.0,212000000.0,2.15E+08,223000000.0,207000000.0,215000000.0,212733333.3,5872.0
1,5000000000000000.0,55,532,50,4.503,300,51.2,51.3,51.3,51.1,51.1,5.11E+01,50.9,50.9,50.9,51.07,46.85
2,5000000000000000.0,25,355,50,2.997,25,75.9,75.9,75.9,75.7,75.7,7.57E+01,75.6,75.5,75.6,75.71,277.3
2,800000000000000.0,10,355,100,1.496,300,4500000.0,5910000.0,5210000.0,5380000.0,5990000.0,5.683e6e6,5350000.0,5860000.0,5600000.0,5404500.0,737.4
1,500000000000000.0,10,0,0,0.0,25,349000000.0,330000000.0,340000000.0,340000000.0,339000000.0,3.39E+08,340000000.0,328000000.0,334000000.0,337666666.7,1708.0
1,500000000000000.0,25,532,50,4.501,25,1350.0,1350.0,1350.0,1350.0,1360.0,1.36E+03,1350.0,1350.0,1350.0,1353.333333,258.4
